gpoi_type,lit_type,n,n_pois,thres_m,lit_per_poi,all_lit,lit_pc
home_goods_store,cigarette,297,219,20,1.36,178557,0.2
home_goods_store,bottle,93,219,20,0.42,178557,0.1
home_goods_store,candy,160,219,20,0.73,178557,0.1
home_goods_store,piece,372,219,20,1.7,178557,0.2
home_goods_store,firework,52,219,20,0.24,178557,0
home_goods_store,bag,107,219,20,0.49,178557,0.1
home_goods_store,energydrink,97,219,20,0.44,178557,0.1
home_goods_store,beer,81,219,20,0.37,178557,0
home_goods_store,aluminum,57,219,20,0.26,178557,0
home_goods_store,knetterbal,42,219,20,0.19,178557,0
home_goods_store,redbull,66,219,20,0.3,178557,0
home_goods_store,cup,62,219,20,0.28,178557,0
home_goods_store,mcdonalds,29,219,20,0.13,178557,0
home_goods_store,drink,23,219,20,0.11,178557,0
home_goods_store,antaflu,53,219,20,0.24,178557,0
liquor_store,all,299,12,20,24.92,178557,0.2
liquor_store,plastic,171,12,20,14.25,178557,0.1
liquor_store,can,18,12,20,1.5,178557,0
liquor_store,wrapper,84,12,20,7,178557,0
liquor_store,paper,36,12,20,3,178557,0
liquor_store,metal,24,12,20,2,178557,0
liquor_store,cigarette,44,12,20,3.67,178557,0
liquor_store,bottle,6,12,20,0.5,178557,0
liquor_store,candy,37,12,20,3.08,178557,0
liquor_store,piece,34,12,20,2.83,178557,0
liquor_store,firework,8,12,20,0.67,178557,0
liquor_store,bag,8,12,20,0.67,178557,0
liquor_store,energydrink,8,12,20,0.67,178557,0
liquor_store,beer,5,12,20,0.42,178557,0
liquor_store,aluminum,2,12,20,0.17,178557,0
liquor_store,knetterbal,1,12,20,0.08,178557,0
liquor_store,redbull,5,12,20,0.42,178557,0
liquor_store,cup,11,12,20,0.92,178557,0
liquor_store,mcdonalds,3,12,20,0.25,178557,0
liquor_store,drink,2,12,20,0.17,178557,0
liquor_store,antaflu,20,12,20,1.67,178557,0
meal_delivery,all,401,16,20,25.06,178557,0.2
meal_delivery,plastic,183,16,20,11.44,178557,0.1
meal_delivery,can,34,16,20,2.12,178557,0
meal_delivery,wrapper,79,16,20,4.94,178557,0
meal_delivery,paper,103,16,20,6.44,178557,0.1
meal_delivery,metal,42,16,20,2.62,178557,0
meal_delivery,cigarette,23,16,20,1.44,178557,0
meal_delivery,bottle,17,16,20,1.06,178557,0
meal_delivery,candy,42,16,20,2.62,178557,0
meal_delivery,piece,97,16,20,6.06,178557,0.1
meal_delivery,firework,2,16,20,0.12,178557,0
meal_delivery,bag,13,16,20,0.81,178557,0
meal_delivery,energydrink,10,16,20,0.62,178557,0
meal_delivery,beer,17,16,20,1.06,178557,0
meal_delivery,aluminum,14,16,20,0.88,178557,0
meal_delivery,knetterbal,4,16,20,0.25,178557,0
meal_delivery,redbull,2,16,20,0.12,178557,0
meal_delivery,cup,8,16,20,0.5,178557,0
meal_delivery,mcdonalds,1,16,20,0.06,178557,0
meal_delivery,drink,1,16,20,0.06,178557,0
meal_delivery,antaflu,11,16,20,0.69,178557,0
meal_takeaway,all,772,18,20,42.89,178557,0.4
meal_takeaway,plastic,244,18,20,13.56,178557,0.1
meal_takeaway,can,47,18,20,2.61,178557,0
meal_takeaway,wrapper,83,18,20,4.61,178557,0
meal_takeaway,paper,90,18,20,5,178557,0.1
meal_takeaway,metal,45,18,20,2.5,178557,0
meal_takeaway,cigarette,212,18,20,11.78,178557,0.1
meal_takeaway,bottle,28,18,20,1.56,178557,0
meal_takeaway,candy,46,18,20,2.56,178557,0
meal_takeaway,piece,102,18,20,5.67,178557,0.1
meal_takeaway,firework,12,18,20,0.67,178557,0
meal_takeaway,bag,23,18,20,1.28,178557,0
meal_takeaway,energydrink,22,18,20,1.22,178557,0
meal_takeaway,beer,14,18,20,0.78,178557,0
meal_takeaway,aluminum,18,18,20,1,178557,0
meal_takeaway,knetterbal,11,18,20,0.61,178557,0
meal_takeaway,redbull,13,18,20,0.72,178557,0
meal_takeaway,cup,4,18,20,0.22,178557,0
meal_takeaway,mcdonalds,5,18,20,0.28,178557,0
meal_takeaway,drink,4,18,20,0.22,178557,0
meal_takeaway,antaflu,15,18,20,0.83,178557,0
movie_theater,all,228,4,20,57,178557,0.1
movie_theater,plastic,54,4,20,13.5,178557,0
movie_theater,can,5,4,20,1.25,178557,0
movie_theater,wrapper,12,4,20,3,178557,0
movie_theater,paper,9,4,20,2.25,178557,0
movie_theater,metal,4,4,20,1,178557,0
movie_theater,cigarette,142,4,20,35.5,178557,0.1
movie_theater,candy,11,4,20,2.75,178557,0
movie_theater,piece,6,4,20,1.5,178557,0
movie_theater,firework,27,4,20,6.75,178557,0
movie_theater,bag,1,4,20,0.25,178557,0
movie_theater,energydrink,2,4,20,0.5,178557,0
movie_theater,beer,1,4,20,0.25,178557,0
movie_theater,knetterbal,24,4,20,6,178557,0
movie_theater,cup,1,4,20,0.25,178557,0
movie_theater,mcdonalds,2,4,20,0.5,178557,0
movie_theater,antaflu,6,4,20,1.5,178557,0
night_club,all,532,5,20,106.4,178557,0.3
night_club,plastic,259,5,20,51.8,178557,0.1
night_club,can,81,5,20,16.2,178557,0
night_club,wrapper,61,5,20,12.2,178557,0
night_club,paper,79,5,20,15.8,178557,0
night_club,metal,79,5,20,15.8,178557,0
night_club,cigarette,36,5,20,7.2,178557,0
night_club,bottle,38,5,20,7.6,178557,0
night_club,candy,39,5,20,7.8,178557,0
night_club,piece,55,5,20,11,178557,0
night_club,firework,26,5,20,5.2,178557,0
night_club,bag,16,5,20,3.2,178557,0
night_club,energydrink,38,5,20,7.6,178557,0
night_club,beer,22,5,20,4.4,178557,0
night_club,aluminum,10,5,20,2,178557,0
night_club,knetterbal,25,5,20,5,178557,0
night_club,redbull,20,5,20,4,178557,0
night_club,cup,19,5,20,3.8,178557,0
night_club,mcdonalds,10,5,20,2,178557,0
