Var1,Freq,pc
rope fibre,129,0.01
Begraafplaats,128,0.01
clothes,128,0.01
coca,128,0.01
drum,128,0.01
fruit-tella,128,0.01
koins,128,0.01
lnm,128,0.01
snelle jelle,128,0.01
sunlolly,128,0.01
lollypopstick,127,0.01
unknowncategory,127,0.01
bodycare,126,0.01
postnl,126,0.01
kermis,126,0.01
amigo,125,0.01
ducktape,125,0.01
nutella,125,0.01
vitaminwater,125,0.01
cuttlery,124,0.01
sponge,124,0.01
tag,124,0.01
coolbest,123,0.01
jumbosupermarket,123,0.01
knetterball,123,0.01
latex,123,0.01
milkshakecan,123,0.01
tierip,123,0.01
hard,122,0.01
plastic silvolde,122,0.01
ponypak,122,0.01
ballon,121,0.01
fruitfris,121,0.01
happymeal,121,0.01
7,120,0.01
balloonholder,120,0.01
cocacolacompany,120,0.01
kornuit,119,0.01
trolli,119,0.01
coca-cola,119,0.01
sigarettenpak,118,0.01
soupsurfer,118,0.01
dominos,117,0.01
reflector,117,0.01
strawcover,117,0.01
plastic from firework,116,0.01
vluggejapie,116,0.01
WT2,116,0.01
metalcan,116,0.01
car,115,0.01
wasa,115,0.01
wipe,115,0.01
polypropylene,115,0.01
piece of,114,0.01
rokersafval,114,0.01
christaline,113,0.01
cleanup,113,0.01
coffeespoon,113,0.01
deposit,113,0.01
foodcontainer,113,0.01
l,113,0.01
packet,113,0.01
silver paper,113,0.01
frappe,113,0.01
pall mall,112,0.01
wettowel,112,0.01
dogpoobag,111,0.01
fuze tea,111,0.01
minutemaid,111,0.01
vianen,111,0.01
bus,110,0.01
candybar,110,0.01
fishing rope,110,0.01
plasticpackage,110,0.01
selecta,110,0.01
singleshotfeet,110,0.01
drinkpak,109,0.01
foodpackage,109,0.01
leffe,109,0.01
bubblewrap,108,0.01
diaper,108,0.01
fruit,108,0.01
wildbeancafe,108,0.01
granulaat,108,0.01
biscuit,107,0.01
captainmorgan,107,0.01
car part,107,0.01
fishnet,107,0.01
plasticcoatedcardboard,107,0.01
gemeentegehakt,107,0.01
kanaaldijk,107,0.01
freedent,106,0.01
kinder bueno,106,0.01
milky way,106,0.01
carnaval,105,0.01
cd,104,0.01
cigarettebud,104,0.01
fireworkremnant,104,0.01
boterhamzakje,103,0.01
gemeenteamsterdam,103,0.01
johma,103,0.01
pipe,103,0.01
plasticcap,102,0.01
beach,101,0.01
crownfield,101,0.01
purschuim,101,0.01
rollendekeukens,101,0.01
tastinggood,101,0.01
zipbag,101,0.01
bierdop,100,0.01
birdfood,100,0.01
large,100,0.01
moods,100,0.01
4,99,0.01
moam,99,0.01
paint,99,0.01
petfles,99,0.01
bouwmateriaal,98,0.01
cookiewrapper,98,0.01
dogpoo,98,0.01
of,98,0.01
spraycan,98,0.01
wildbean,98,0.01
zonnatura,98,0.01
capri sun,97,0.01
cork,97,0.01
isolationmaterial,97,0.01
maddog,97,0.01
onbekend,97,0.01
poepzakje,97,0.01
stone,97,0.01
tisseus,97,0.01
breadbag,96,0.01
chupa chups,96,0.01
cord,96,0.01
deli2go,96,0.01
energy slammers,96,0.01
plastic straw,96,0.01
tampon,96,0.01
vieux,96,0.01
AH,95,0.01
dr pepper,95,0.01
envelope,95,0.01
toblerone,95,0.01
toiletpaper,95,0.01
Bavaria,94,0.01
brokenglass,94,0.01
glasses,94,0.01
solo,94,0.01
hlr3,94,0.01
bicycle part,93,0.01
broken,93,0.01
heinz,93,0.01
nestea,93,0.01
oasis,93,0.01
other,93,0.01
packing,93,0.01
shag,93,0.01
zakdoek,93,0.01
cartridge,92,0.01
hout,92,0.01
plastic bag,92,0.01
syntheticrubber,92,0.01
lint,91,0.01
music,91,0.01
supportervanschoon,91,0.01
surango,91,0.01
thunder king,91,0.01
bonbonita,90,0.01
dogbag,90,0.01
sigarettebox,90,0.01
sunglasses,90,0.01
toothpick,90,0.01
refresco,89,0.01
wipes,89,0.01
crumbs,89,0.01
drinkyoghurt,88,0.01
freshlife,88,0.01
klok,88,0.01
amsterdam,87,0.01
etos,87,0.01
poms,87,0.01
spadel,87,0.01
umbrella,87,0.01
wristband,87,0.01
lunch bag,87,0.01
bar,86,0.01
chio,86,0.01
danoontje,86,0.01
kopiko,86,0.01
peppermint,86,0.01
ruba,86,0.01
spam,86,0.01
aluminiumcoatedplastic,86,0.01
kermis aug 2019,86,0.01
plant growing industry,86,0.01
billendoekje,85,0.01
ice tea,85,0.01
pizza,85,0.01
sleeve,85,0.01
tabacco,85,0.01
unilever,85,0.01
work,85,0.01
dunhill,84,0
eristoff,84,0
kleenex,84,0
plastic beker,84,0
plastic bottle,84,0
rocket,84,0
STREETBOSSyes,84,0
remia,83,0
philipmorrisinternational,83,0
sigarettenpeuk,83,0
STRAATBAASyes,83,0
seal,82,0
antiflu,81,0
merci,81,0
metaal,81,0
palm,81,0
partypopper,81,0
doggiebag,80,0
foots,80,0
lamp,80,0
leather,80,0
plug,80,0
brush,79,0
drinkzak,79,0
eronderhoudenvangroen,79,0
mac donalds,79,0
malboro,79,0
milsani,79,0
repack,79,0
smokingpaper,79,0
paasei aluminiumfolie,79,0
